Date,Yield
02-01-2022,1.512
03-01-2022,1.637
04-01-2022,1.649
05-01-2022,1.7
06-01-2022,1.728
07-01-2022,1.765
09-01-2022,1.765
10-01-2022,1.755
11-01-2022,1.746
12-01-2022,1.752
13-01-2022,1.701
14-01-2022,1.793
17-01-2022,1.809
18-01-2022,1.875
19-01-2022,1.854
20-01-2022,1.811
21-01-2022,1.77
23-01-2022,1.772
24-01-2022,1.776
25-01-2022,1.776
26-01-2022,1.873
27-01-2022,1.803
28-01-2022,1.778
30-01-2022,1.791
31-01-2022,1.784
01-02-2022,1.795
02-02-2022,1.771
03-02-2022,1.836
04-02-2022,1.916
06-02-2022,1.91
07-02-2022,1.919
08-02-2022,1.965
09-02-2022,1.945
10-02-2022,2.043
11-02-2022,1.918
14-02-2022,1.986
15-02-2022,2.043
16-02-2022,2.04
17-02-2022,1.968
18-02-2022,1.927
21-02-2022,1.873
22-02-2022,1.944
23-02-2022,1.998
24-02-2022,1.97
25-02-2022,1.97
27-02-2022,1.894
28-02-2022,1.822
01-03-2022,1.716
02-03-2022,1.878
03-03-2022,1.84
04-03-2022,1.737
06-03-2022,1.683
07-03-2022,1.777
08-03-2022,1.84
09-03-2022,1.951
10-03-2022,1.993
11-03-2022,1.997
13-03-2022,2.039
14-03-2022,2.142
15-03-2022,2.149
16-03-2022,2.192
17-03-2022,2.167
18-03-2022,2.153
20-03-2022,2.153
21-03-2022,2.297
22-03-2022,2.381
23-03-2022,2.29
24-03-2022,2.37
25-03-2022,2.488
27-03-2022,2.471
28-03-2022,2.466
29-03-2022,2.398
30-03-2022,2.358
31-03-2022,2.345
01-04-2022,2.389
03-04-2022,2.401
04-04-2022,2.393
05-04-2022,2.554
06-04-2022,2.598
07-04-2022,2.665
08-04-2022,2.704
10-04-2022,2.723
11-04-2022,2.774
12-04-2022,2.727
13-04-2022,2.703
14-04-2022,2.828
17-04-2022,2.847
18-04-2022,2.857
19-04-2022,2.94
20-04-2022,2.834
21-04-2022,2.908
22-04-2022,2.905
24-04-2022,2.887
