Date,us_treasury_yield,inflation_rate,federal_funds_rate,unemployment_rate,consumer_confidence_index
Dec-22,3.879,6.5,4.33,3.5,3.5
Nov-22,3.611,7.1,3.83,3.6,3.5
Oct-22,4.05,7.7,3.08,3.7,3.5
Sep-22,3.829,8.2,2.33,3.5,3.5
Aug-22,3.196,8.3,2.32,3.7,3.5
Jul-22,2.658,8.5,1.58,3.5,3.5
Jun-22,3.017,9.1,1.58,3.6,3.5
May-22,2.849,8.6,0.83,3.6,3.5
Apr-22,2.938,8.3,0.83,3.6,3.5
Mar-22,2.345,8.5,0.08,3.6,3.5
Feb-22,1.822,7.9,0.08,3.8,3.5
Jan-22,1.784,7.5,0.08,4,3.5
Dec-21,1.512,7,0.07,3.9,3.5
Nov-21,1.456,6.8,0.08,4.2,3.5
Oct-21,1.561,6.2,0.07,4.5,3.5
Sep-21,1.492,5.4,0.08,4.8,3.5
Aug-21,1.307,5.3,0.08,5.2,3.5
Jul-21,1.226,5.4,0.1,5.4,3.5
Jun-21,1.468,5.4,0.1,5.9,3.5
May-21,1.581,5,0.06,5.8,3.5
Apr-21,1.626,4.2,0.05,6.1,3.5
Mar-21,1.744,2.6,0.07,6.1,3.5
Feb-21,1.407,1.7,0.07,6.2,3.5
Jan-21,1.071,1.4,0.07,6.3,3.5
Dec-20,0.916,1.4,0.09,6.7,3.5
Nov-20,0.842,1.2,0.09,6.7,3.5
Oct-20,0.874,1.2,0.09,6.9,3.5
Sep-20,0.686,1.4,0.09,7.9,3.5
Aug-20,0.706,1.3,0.09,8.4,3.5
Jul-20,0.533,1,0.1,10.2,3.5
Jun-20,0.658,0.6,0.08,11,3.5
May-20,0.653,0.1,0.05,13.2,3.5
Apr-20,0.646,0.3,0.05,14.7,3.5
Mar-20,0.668,1.5,0.08,4.4,3.5
Feb-20,1.163,2.3,1.58,3.5,3.5
Jan-20,1.505,2.5,1.59,3.5,3.5
Dec-19,1.919,2.3,1.55,3.6,3.5
Nov-19,1.774,2.1,1.56,3.6,3.5
Oct-19,1.688,1.8,1.58,3.6,3.5
Sep-19,1.668,1.7,1.9,3.5,3.5
Aug-19,1.499,1.7,2.13,3.7,3.5
Jul-19,2.007,1.8,2.4,3.7,3.5
