Date,Yield
03-01-2021,0.93
04-01-2021,0.918
05-01-2021,0.955
06-01-2021,1.039
07-01-2021,1.081
08-01-2021,1.119
10-01-2021,1.119
11-01-2021,1.144
12-01-2021,1.129
13-01-2021,1.092
14-01-2021,1.129
15-01-2021,1.087
18-01-2021,1.1
19-01-2021,1.092
20-01-2021,1.077
21-01-2021,1.109
22-01-2021,1.086
24-01-2021,1.096
25-01-2021,1.033
26-01-2021,1.033
27-01-2021,1.013
28-01-2021,1.052
29-01-2021,1.071
31-01-2021,1.071
01-02-2021,1.079
02-02-2021,1.095
03-02-2021,1.139
04-02-2021,1.136
05-02-2021,1.169
07-02-2021,1.174
08-02-2021,1.176
09-02-2021,1.16
10-02-2021,1.124
11-02-2021,1.165
12-02-2021,1.21
15-02-2021,1.25
16-02-2021,1.311
17-02-2021,1.282
18-02-2021,1.297
19-02-2021,1.34
21-02-2021,1.362
22-02-2021,1.369
23-02-2021,1.343
24-02-2021,1.372
25-02-2021,1.53
26-02-2021,1.407
28-02-2021,1.395
01-03-2021,1.426
02-03-2021,1.398
03-03-2021,1.484
04-03-2021,1.557
05-03-2021,1.577
07-03-2021,1.599
08-03-2021,1.603
09-03-2021,1.528
10-03-2021,1.521
11-03-2021,1.535
12-03-2021,1.625
14-03-2021,1.637
15-03-2021,1.607
16-03-2021,1.621
17-03-2021,1.646
18-03-2021,1.706
19-03-2021,1.73
21-03-2021,1.707
22-03-2021,1.695
23-03-2021,1.622
24-03-2021,1.614
25-03-2021,1.633
26-03-2021,1.674
28-03-2021,1.672
29-03-2021,1.717
30-03-2021,1.71
31-03-2021,1.744
01-04-2021,1.673
02-04-2021,1.673
04-04-2021,1.705
05-04-2021,1.707
06-04-2021,1.658
07-04-2021,1.679
08-04-2021,1.626
09-04-2021,1.662
11-04-2021,1.674
12-04-2021,1.669
13-04-2021,1.62
14-04-2021,1.634
15-04-2021,1.574
16-04-2021,1.59
18-04-2021,1.578
19-04-2021,1.61
20-04-2021,1.566
21-04-2021,1.559
22-04-2021,1.542
23-04-2021,1.559
25-04-2021,1.563
26-04-2021,1.568
27-04-2021,1.625
28-04-2021,1.611
29-04-2021,1.641
30-04-2021,1.626
02-05-2021,1.626
03-05-2021,1.599
04-05-2021,1.591
05-05-2021,1.571
06-05-2021,1.57
07-05-2021,1.579
09-05-2021,1.584
10-05-2021,1.604
11-05-2021,1.622
12-05-2021,1.693
13-05-2021,1.659
14-05-2021,1.635
16-05-2021,1.633
17-05-2021,1.652
18-05-2021,1.64
19-05-2021,1.676
20-05-2021,1.628
21-05-2021,1.623
23-05-2021,1.62
24-05-2021,1.603
25-05-2021,1.56
26-05-2021,1.581
27-05-2021,1.606
28-05-2021,1.581
31-05-2021,1.61
01-06-2021,1.606
02-06-2021,1.589
03-06-2021,1.625
04-06-2021,1.557
06-06-2021,1.569
07-06-2021,1.569
08-06-2021,1.538
09-06-2021,1.492
10-06-2021,1.437
11-06-2021,1.454
13-06-2021,1.46
14-06-2021,1.497
15-06-2021,1.489
16-06-2021,1.581
17-06-2021,1.511
18-06-2021,1.443
20-06-2021,1.441
21-06-2021,1.497
22-06-2021,1.467
23-06-2021,1.485
24-06-2021,1.499
25-06-2021,1.524
27-06-2021,1.528
28-06-2021,1.482
29-06-2021,1.475
30-06-2021,1.468
01-07-2021,1.459
02-07-2021,1.431
05-07-2021,1.436
06-07-2021,1.352
07-07-2021,1.323
08-07-2021,1.294
09-07-2021,1.361
11-07-2021,1.363
12-07-2021,1.368
13-07-2021,1.418
14-07-2021,1.349
15-07-2021,1.301
16-07-2021,1.3
18-07-2021,1.269
19-07-2021,1.199
20-07-2021,1.222
21-07-2021,1.292
22-07-2021,1.277
23-07-2021,1.281
25-07-2021,1.283
26-07-2021,1.295
27-07-2021,1.239
28-07-2021,1.238
29-07-2021,1.266
30-07-2021,1.226
02-08-2021,1.179
03-08-2021,1.174
04-08-2021,1.18
05-08-2021,1.225
06-08-2021,1.305
09-08-2021,1.325
